,name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score,convention,ratio
349,titanium_mobile,https://github.com/appcelerator/titanium_mobile,Objective-C,Other,2499,141,0,326,6,28.3,10,235,196,1.8,8204,0.75289,angular,0.97
355,sequelize,https://github.com/sequelize/sequelize,JavaScript,MIT License,23459,127,1,1048,7,4.2,29,413,123,1.1,8906,0.75117,angular,0.96
379,docusaurus,https://github.com/facebook/docusaurus,TypeScript,Other,20967,43,0,506,7,20.1,26,549,455,3.7,700,0.74669,angular,0.96
398,influxdb,https://github.com/influxdata/influxdb,Go,MIT License,20247,94,0,520,5,40.5,28,1039,637,0.9,1405,0.74449,angular,0.96
401,vue,https://github.com/vuejs/vue,JavaScript,MIT License,177667,91,0,317,7,1.1,33,246,158,1.5,36964,0.74411,angular,0.99
408,quasar,https://github.com/quasarframework/quasar,JavaScript,MIT License,17241,64,0,400,6,32.2,164,550,450,2.0,1326,0.74328,angular,0.88
413,swagger-ui,https://github.com/swagger-api/swagger-ui,JavaScript,Apache License 2.0,19112,115,0,463,7,8.8,35,414,260,0.9,4143,0.74259,angular,0.59
417,google-cloud-go,https://github.com/googleapis/google-cloud-go,Go,Other,2424,81,0,230,5,19.2,88,599,489,5.3,822,0.74179,angular,0.97
429,carbon,https://github.com/carbon-design-system/carbon,JavaScript,Apache License 2.0,3830,68,0,322,8,23.4,54,764,495,2.1,747,0.7398899999999999,angular,0.98
437,taro,https://github.com/NervJS/taro,JavaScript,MIT License,27878,33,0,320,9,16.4,58,999,644,1.4,2972,0.73931,angular,0.9
442,webpack-dev-server,https://github.com/webpack/webpack-dev-server,JavaScript,MIT License,6674,101,0,237,8,1.4,5,274,227,3.5,21086,0.73795,angular,0.98
457,karma,https://github.com/karma-runner/karma,JavaScript,MIT License,11394,112,0,365,8,2.2,16,115,91,2.4,8841,0.7361300000000001,angular,1.0
473,material,https://github.com/angular/material,JavaScript,MIT License,16656,79,1,412,10,3.4,11,252,145,0.6,55966,0.7327199999999999,angular,0.87
503,node-v8,https://github.com/nodejs/node-v8,JavaScript,Other,256,145,1,3266,10,61.3,0,12,6,2.4,1773,0.72941,angular,1.0
537,rxjs,https://github.com/ReactiveX/rxjs,TypeScript,Apache License 2.0,23766,71,0,453,7,12.0,22,223,147,1.2,3163,0.72545,angular,0.93
550,appium,https://github.com/appium/appium,JavaScript,Apache License 2.0,12500,97,0,343,9,3.8,9,266,245,2.7,2136,0.7242,angular,0.98
562,formatjs,https://github.com/formatjs/formatjs,TypeScript,,12256,82,0,192,7,26.6,1020,306,304,1.3,2132,0.72297,angular,0.99
580,yargs,https://github.com/yargs/yargs,JavaScript,MIT License,8409,126,0,229,10,2.5,14,104,67,1.7,8775,0.72142,angular,0.92
586,nuxt.js,https://github.com/nuxt/nuxt.js,JavaScript,Other,32899,51,0,293,5,12.2,20,691,523,2.1,3123,0.72083,angular,0.93
592,electron-builder,https://github.com/electron-userland/electron-builder,TypeScript,MIT License,10081,69,0,329,11,2.4,14,531,327,2.2,1979,0.72006,angular,0.8
603,fxa,https://github.com/mozilla/fxa,JavaScript,Mozilla Public License 2.0,281,108,0,164,3,33.9,88,2386,1290,0.3,8130,0.71923,angular,0.57
